plt_cn,lon,lat,mat,remper
36099482020004,-87.789422,33.316843,18.031212398276182,6.4
36100026020004,-87.566966,33.270123,17.901597906173485,5.9
36099696020004,-87.341136,33.033762,17.890730326264784,6.4
36100018020004,-87.758052,33.119135,18.116890753157318,6.4
36100014020004,-87.652976,33.432046,17.486463245751935,4.8
36099874020004,-86.699711,33.980508,16.577736410980282,5.9
36099876020004,-86.605137,33.925254,17.165099683110014,5.4
36099380020004,-85.76618,33.702775,16.212670537786185,6
36099367020004,-86.033916,33.662559,16.922861313400272,6
36099773020004,-85.548143,34.325082,16.440814525787857,6.3
36099391020004,-85.447755,34.187868,16.686236245227924,6.3
36099774020004,-85.704602,34.18859,16.541362003143945,6.4
36099939020004,-85.828031,33.228575,16.43197763947259,5.9
36099521020004,-85.869419,33.449708,16.183761722969003,5.9
36099937020004,-85.6794,33.174978,16.50450386577267,5.9
36099923020004,-86.143424,33.140348,16.912423192497297,5.9
36099571020004,-85.931724,33.22631,16.50343278474649,5.9
36099936020004,-85.722117,33.481126,16.17333263824281,5.9
36099539020004,-85.576423,33.85873,16.154836439853277,6
36099392020004,-85.392415,33.920006,15.883432838215006,6
36099582020004,-85.607947,33.778722,15.947663640349488,6
36099929020004,-86.128536,32.780717,17.626518030915484,7.1
36099930020004,-86.223844,32.821206,17.698286257288057,7.1
36099915020004,-86.392131,32.828298,17.855194484991387,6.9
36099604020004,-86.917519,34.281119,16.230231465143884,6
36099608020004,-86.98501,34.068765,16.694676087816667,6
36099348020004,-86.058653,34.159076,16.33909157015603,5.9
36099366020004,-86.134075,33.925724,17.032392768919824,5.9
36099350020004,-86.211003,34.149231,16.39134510709741,5.9
36099376020004,-85.815353,34.013777,16.927853934747038,5.9
36100031020004,-86.954445,33.279918,17.753091314843928,6.6
36099480020004,-87.214136,33.406582,17.464266178231902,6.5
36099880020004,-86.670506,33.749747,17.08740619619733,6.6
36099893020004,-86.556573,33.628427,17.218150965641144,6.7
36099637020004,-85.410977,33.434809,16.577921572401692,6.5
36099639020004,-85.408073,33.171129,17.039842749136483,6.5
36099793020004,-85.530632,33.156621,17.015806091131726,6.5
